date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:10:54	3088/3088	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22662b9ae622123509c1a157ed19dadb1f%22	https://egee.me/robots.txt		(from )
07:10:54	21101/21101	---MCZ	200	added ('OK')	text/html	etag:W/%2261c7d1e4460efebb4fc8221afa6b5ca0%22	https://egee.me/	C:/My%20Web%20Sites/Test/egee.me/index.html	(from )
07:10:55	3247/3247	---M--	200	added ('OK')	image/png	etag:%22bf88d1ffed9d83e7aebc919a07ad0c8a%22	https://egee.me/img/favicon.png	C:/My%20Web%20Sites/Test/egee.me/img/favicon.png	(from https://egee.me/)
07:10:55	750302/750302	---MCZ	200	added ('OK')	text/css	etag:W/%225912ad50f6909587f56545830ae1c6db%22	https://pro.fontawesome.com/releases/v6.0.0-beta1/css/all.css	C:/My%20Web%20Sites/Test/pro.fontawesome.com/releases/v6.0.0-beta1/css/all.css	(from https://egee.me/)
07:10:55	1429/1429	---MCZ	200	added ('OK')	text/css	etag:W/%228fcc074f6d3d87e1ffd01988eb30a17e%22	https://egee.me/css/nprogress.css	C:/My%20Web%20Sites/Test/egee.me/css/nprogress.css	(from https://egee.me/)
07:10:55	24008/24008	---MCZ	200	added ('OK')	text/css	etag:W/%22a7d8923d819682029e41f204b098c32c%22	https://egee.me/_next/static/css/e42777865b4dda1ddf48.css	C:/My%20Web%20Sites/Test/egee.me/_next/static/css/e42777865b4dda1ddf48.css	(from https://egee.me/)
07:10:56	1941/1941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f6ff6831beacd715be518b907cb0cce8%22	https://egee.me/_next/static/chunks/webpack-af8d060cb140570bcfb2.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/webpack-af8d060cb140570bcfb2.js	(from https://egee.me/)
07:10:56	131040/131040	---MCZ	200	added ('OK')	application/javascript	etag:W/%220c13649843471888899b561d52765431%22	https://egee.me/_next/static/chunks/framework-6c6eb080c4d41d8fd79b.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/framework-6c6eb080c4d41d8fd79b.js	(from https://egee.me/)
07:10:56	60671/60671	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd69fd560cfd6a25f38d1d4658e77685%22	https://egee.me/_next/static/chunks/main-5b2d61feb9cebaa93312.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/main-5b2d61feb9cebaa93312.js	(from https://egee.me/)
07:10:56	97334/97334	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245e20c20ab3baf2197d3e9f48f2147b3%22	https://egee.me/_next/static/chunks/pages/_app-2721887619e5b96cfe49.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/pages/_app-2721887619e5b96cfe49.js	(from https://egee.me/)
07:10:57	12208/12208	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ef7fd028896a8d3216533a313198ad%22	https://egee.me/_next/static/chunks/796-2774e92d8a0e10bbf7e7.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/796-2774e92d8a0e10bbf7e7.js	(from https://egee.me/)
07:10:57	29630/29630	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b061d2c02a82113da9eddd353d91591c%22	https://egee.me/_next/static/chunks/463-2a2793286edfb466cef3.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/463-2a2793286edfb466cef3.js	(from https://egee.me/)
07:10:57	12716/12716	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d9197c615a48e4aed1e16469b7a0fae1%22	https://egee.me/_next/static/chunks/pages/index-9af412be23caeb25f8be.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/pages/index-9af412be23caeb25f8be.js	(from https://egee.me/)
07:10:58	11732/11732	---MCZ	200	added ('OK')	text/html	etag:W/%2260d493fa34a339feb62f055eb9507620%22	https://egee.me/about	C:/My%20Web%20Sites/Test/egee.me/about	(from https://egee.me/)
07:10:58	16047/16047	---MCZ	200	added ('OK')	text/html	etag:W/%22854a43c68d2483da27263b32f15df715%22	https://egee.me/projects	C:/My%20Web%20Sites/Test/egee.me/projects	(from https://egee.me/)
07:10:58	12761/12761	---MCZ	200	added ('OK')	text/html	etag:W/%22d3488487fed8cc173d22c66bcad27e23%22	https://egee.me/contact	C:/My%20Web%20Sites/Test/egee.me/contact	(from https://egee.me/)
07:10:59	984/984	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Mar%202022%2007:48:04%20GMT	https://i.ibb.co/68X2Xfq/pulse.png	C:/My%20Web%20Sites/Test/i.ibb.co/68X2Xfq/pulse.png	(from https://egee.me/)
07:10:59	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/Test/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://egee.me/)
07:10:59	304/304	---M--	200	added ('OK')	application/javascript	etag:%22538551f2ab22c04a0b2e429312eb354c%22	https://egee.me/js/main.js	C:/My%20Web%20Sites/Test/egee.me/js/main.js	(from https://egee.me/)
07:11:00	92017/92017	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d00149ba1d2a609c20937ed5b516bb45%22	https://egee.me/_next/static/chunks/polyfills-eef578260fd80f8fff94.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/polyfills-eef578260fd80f8fff94.js	(from https://egee.me/)
07:11:00	765/765	---M--	200	added ('OK')	application/javascript	etag:%228b11ab9ef4e6cff74483165018f2300a%22	https://egee.me/_next/static/CNxvg1e91AeKqRMz5qjEQ/_buildManifest.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/CNxvg1e91AeKqRMz5qjEQ/_buildManifest.js	(from https://egee.me/)
07:11:00	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://egee.me/_next/static/CNxvg1e91AeKqRMz5qjEQ/_ssgManifest.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/CNxvg1e91AeKqRMz5qjEQ/_ssgManifest.js	(from https://egee.me/)
07:11:01	1645/1645	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a0d2ee0538566a508230492c3db9d53%22	https://egee.me/_next/static/chunks/pages/about-1c6832a13e11ca172457.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/pages/about-1c6832a13e11ca172457.js	(from https://egee.me/about)
07:11:02	3939/3939	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd7a9cf115d445ce476826bd85d9434d%22	https://egee.me/_next/static/chunks/pages/projects-6dbd5d58f1c72b0e5d3c.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/pages/projects-6dbd5d58f1c72b0e5d3c.js	(from https://egee.me/projects)
07:11:02	2205/2205	---MCZ	200	added ('OK')	application/javascript	etag:W/%22095f5ca09876ac76a8c01156d6e362f5%22	https://egee.me/_next/static/chunks/pages/contact-719a4a145db2143677e6.js	C:/My%20Web%20Sites/Test/egee.me/_next/static/chunks/pages/contact-719a4a145db2143677e6.js	(from https://egee.me/contact)
